id_flood,name,dcode,location,type_gate,num_gate,size,geometry
054,ประตูระบายน้ำกรมสรรพาวุธ,1002,ถ.เตชะวิช ติดคลองเปรมประชากรหน้ากรมสรรพาวุธ,01,1,กว้าง4.1 ม.*สูง4.0ม.,POINT (665613.356554 1525883.891887)
055,ประตูระบายน้ำตลาดบางซื่อ,1029,ถ. เตชะวนิช ติดคลองเปรมประชากรหน้าตลาดบางซื่อ,01,1,กว้าง4.1ม.*สูง4.0ม.,POINT (665749.381556 1526147.33731)
077,ประตูระบายน้ำคลองตาอูฐ ตอนคลองเปรมประชากร,1036,คลองเปรมประชากร,05,1,กว้าง6.3ม.*สูง4.0ม.,POINT (671538.473581 1537169.723008)
062,ประตูระบายน้ำอินทาระ35,1026,ถ.สุทธิสาร อินทามระ 35 ติดคลองบางซื่อ,-,1,กว้าง6.0*สูง1.5ม.,POINT (669073.333234 1525578.519497)
063,ประตูระบายน้ำท่าซุง,1029,ใกล้สะพานพระราม6 ติดแม่น้ำเจ้าพระยา,05,1,กว้าง6.0*สูง5.5ม.,POINT (664096.863355 1527464.533244)
012,ประตูระบายน้ำคลองลำกระโดง9 (คลองตาเหล็ก),1031,ถนนพระราม3,02,1,กว้าง4.0ม.*สูง4.0ม.,POINT (664025.542843 1513600.61772)
005,ประตูระบายน้ำคลองบางโคล่ใหญ่,1031,ถนนพระราม3,02,1,กว้าง4.0ม*สูง4.0ม.,POINT (663515.110309 1513840.655981)
013,ประตูระบายน้ำคลองบางโคล่,1031,ถนนพระราม3,02,1,กว้าง4.0ม.*สูง4.0ม.,POINT (663769.468361 1513777.885889)
014,ประตูระบายน้ำคลองบางโคล่น้อย,1031,ถนนพระราม3,02,1,กว้าง4.0ม.*สูง4.0ม.,POINT (662791.390602 1513912.132243)
002,ประตูระบายน้ำคลองวัดจันทร์นอก,1031,ถนนพระราม3,02,1,กว้าง4.0ม.*สูง4.0ม.,POINT (662440.244767 1514107.56081)
015,ประตูระบายน้ำคลองบางคอแหลม,1031,ถนนพระราม3,02,1,กว้าง4.0ม.*สูง4.0ม.,POINT (662075.362663 1514371.256712)
016,ประตูระบายน้ำคลองถนนตก,1031,ถนนพระราม3,02,1,กว้าง4.0ม.*สูง4.0ม.,POINT (662019.309261 1514470.844571)
051,ประตูระบายน้ำคลองบ้านใหม่,1031,ถนนเจริญกรุง,02,1,กว้าง4.0ม.*สูง5.0ม.,POINT (661419.549381 1514245.026042)
061,ประตูระบายน้ำแสนแสบเก่า,1007,ริมคลองแสนแสบ ถ.เพชรบุรี,03,2,กว้าง5.0ม.*สูง6.0ม.,POINT (667725.97165 1520436.949155)
053,ประตูระบายน้ำลาดพร้าว56,1017,ซ. ลาดพร้าว 56,03,1,กว้าง4.0ม.*สูง6.30ม.,POINT (671803.93921 1525548.9205)
008,ประตูระบายน้ำบึงลำพังพวย (ตอนนวมินทร์),1027,เขตบึงกุ่ม กรุงเทพมหานคร,04,2,กว้าง4.0ม.*สูง3.1ม.,POINT (678166.524658 1524532.220877)
003,ประตูระบายน้ำคลองสะแก,1034,ข้าง รพ.แพทย์ปัญญา,03,1,กว้าง6.0ม.*สูง3.5ม.,POINT (674151.082098 1519875.553666)
064,ประตุระบายน้ำคลองบางกะปิ,1017,ใกล้วัดอุทัยธาราม ถ.เพชรบุรี,03,1,กว้าง6.0ม.*สูง3.5ม.,POINT (669767.606963 1520769.245301)
