id_flood,name,dcode,location,type_gate,num_gate,size
54,ประตูระบายน้ำกรมสรรพาวุธ,1002,POINT (100.53209429624789 13.797723456504684),01,1,กว้าง4.1 ม.*สูง4.0ม.
55,ประตูระบายน้ำตลาดบางซื่อ,1029,POINT (100.53336790520403 13.800096864121802),01,1,กว้าง4.1ม.*สูง4.0ม.
77,ประตูระบายน้ำคลองตาอูฐ ตอนคลองเปรมประชากร,1036,POINT (100.58758551622948 13.899384050334943),05,1,กว้าง6.3ม.*สูง4.0ม.
62,ประตูระบายน้ำอินทาระ35,1026,POINT (100.56407589339621 13.794761690946697),-,1,กว้าง6.0*สูง1.5ม.
63,ประตูระบายน้ำท่าซุง,1029,POINT (100.5181611282313 13.812097831138207),05,1,กว้าง6.0*สูง5.5ม.
12,ประตูระบายน้ำคลองลำกระโดง9 (คลองตาเหล็ก),1031,POINT (100.5166944863196 13.686786067163602),02,1,กว้าง4.0ม.*สูง4.0ม.
5,ประตูระบายน้ำคลองบางโคล่ใหญ่,1031,POINT (100.51198969673725 13.688984647929171),02,1,กว้าง4.0ม*สูง4.0ม.
13,ประตูระบายน้ำคลองบางโคล่,1031,POINT (100.51433748048218 13.688402893082497),02,1,กว้าง4.0ม.*สูง4.0ม.
14,ประตูระบายน้ำคลองบางโคล่น้อย,1031,POINT (100.5053033615945 13.68967150085106),02,1,กว้าง4.0ม.*สูง4.0ม.
2,ประตูระบายน้ำคลองวัดจันทร์นอก,1031,POINT (100.50206838113942 13.69145771775121),02,1,กว้าง4.0ม.*สูง4.0ม.
15,ประตูระบายน้ำคลองบางคอแหลม,1031,POINT (100.49871026949786 13.693861742197008),02,1,กว้าง4.0ม.*สูง4.0ม.
16,ประตูระบายน้ำคลองถนนตก,1031,POINT (100.49819777003245 13.694765065765095),02,1,กว้าง4.0ม.*สูง4.0ม.
51,ประตูระบายน้ำคลองบ้านใหม่,1031,POINT (100.49264022812041 13.692757368356489),02,1,กว้าง4.0ม.*สูง5.0ม.
61,ประตูระบายน้ำแสนแสบเก่า,1007,POINT (100.5513083095778 13.74836688021107),03,2,กว้าง5.0ม.*สูง6.0ม.
53,ประตูระบายน้ำลาดพร้าว56,1017,POINT (100.58932773935281 13.794332165617845),03,1,กว้าง4.0ม.*สูง6.30ม.
8,ประตูระบายน้ำบึงลำพังพวย (ตอนนวมินทร์),1027,POINT (100.6481054571879 13.784755336329042),04,2,กว้าง4.0ม.*สูง3.1ม.
3,ประตูระบายน้ำคลองสะแก,1034,POINT (100.61068356106456 13.742911713426784),03,1,กว้าง6.0ม.*สูง3.5ม.
64,ประตุระบายน้ำคลองบางกะปิ,1017,POINT (100.57020655272365 13.75125092964579),03,1,กว้าง6.0ม.*สูง3.5ม.
1,ประตูระบายน้ำคลงอกะจะ(ตอนถนนศรีนครินทร์),1034,POINT (100.63461534361208 13.749759945208293),03,1,กว้าง4.0ม.*สูง3.5ม.
57,ประตูระบายน้ำแยกคลองพลับพลาตอนคลองลาดพร้าว,1045,POINT (100.59899325024183 13.75659828443974),03,1,กว้าง4.26ม.*สูง3.3ม.
69,ประตูระบายน้ำประเวศ (กระทุ่มเสือปลา),1032,POINT (100.68779029936803 13.723909252301846),03,2,กว้าง6.0ม.*สูง6.0ม.
70,ประตูระบายน้ำบางชัน(ตอนคลองแสนแสบ),1043,POINT (100.70521818549278 13.797938189732827),03,1,กว้าง6.0ม.*สูง6.0ม.
71,ประตูระบายน้ำพระยาสุเรนทร์(ใต้),1043,POINT (100.66084901104881 13.83967584834697),03,1,กว้าง6.0ม.*สูง6.0ม.
17,ประตูระบายน้ำคลองหม้อแตก,1042,POINT (100.66225175701324 13.92154417786373),05,1,กว้าง4.0ม.*สูง4.0ม.
72,ประตูระบายน้ำคลองสองใต้,1042,POINT (100.63961480669776 13.931821833262584),05,1,กว้าง6.0ม.*สูง6.0ม.
73,ประตูระบายน้ำแสนแสบ (มีนบุรี),1010,POINT (100.74739799940063 13.82101674502636),05,1,กว้าง6.0ม.*สูง6.0ม.
74,ประตูระบายน้ำลาดกระบัง,1032,POINT (100.74990073586228 13.724153326898854),05,1,กว้าง6.0ม.*สูง6.0ม.
18,ประตูระบายน้ำพระยาสุเรนทร์(เหนือ),1042,POINT (100.68719865969723 13.921209022068174),05,1,กว้าง4.0ม.*สูง4.0ม.
6,ประตูระบายน้ำคลองหนึ่งลำปลาทิว,1003,POINT (100.86990533943118 13.82858113305275),05,1,กว้าง4.0ม*สูง4.0ม.
7,ประตูระบายน้ำคลองหนึ่งตะวันออก,1003,POINT (100.7331462409689 13.850573146961347),05,1,กว้าง4.0ม*สูง4.0ม.
19,ประตูระบายน้ำคลองลำปลาทิว,1003,POINT (100.87193200000398 13.815829056353037),05,1,กว้าง4.0ม.*สูง4.0ม.
20,ประตูระบายน้ำคลองสองตะวันตก,1046,POINT (100.7231108822014 13.864023983163431),05,1,กว้าง4.0ม.*สูง4.0ม.
4,ประตูระบายน้ำคลองสามตะวันออก,1046,POINT (100.72279969928569 13.879554133886806),05,1,กว้ง4.0ม.*สูง4.0ม.
21,ประตูระบายน้ำคลองสี่ตะวักตก,1046,POINT (100.72246360759925 13.895875637656411),05,1,กว้าง4.0ม.*สูง4.0ม.
75,ประตูระบายน้ำคลองสามวา,1046,POINT (100.72923804411269 13.85956982257463),05,1,กว้าง6.0ม.*สูง6.0ม.
22,ประตูระบายน้ำคลองลำเบน,1046,POINT (100.72227580409607 13.906730645392564),05,1,กว้าง4.0ม.*สูง4.0ม.
76,ประตูระบายน้ำคลองลำบึงขวาง,1010,POINT (100.74475492862517 13.799509405625),05,1,กว้าง6.0ม.*สูง6.0ม.
58,ทำนบและประตูระบายน้ำคลองปากคลองลำต้อยติง,1011,POINT (100.85828911263104 13.727754031564762),06,1,กว้าง4.30ม.*สูง3.0ม.
59,ทำนบและประตูระบายน้ำคลองลำตาแฝง,1003,POINT (100.87251370328039 13.797437465044181),03,1,กว้าง4.3ม.*สูง3.0ม.
23,ประตูระบายน้ำวัดอรุณ,1016,POINT (100.48513721292908 13.747188532317805),03,1,กว้าง4.0ม.*สูง4.0ม.
24,ประตูระบายน้ำวัดระฆัง,1016,POINT (100.48374953098778 13.752132627841581),03,1,กว้าง4.0ม.*สูง4.0ม.
56,ประตูระบายน้ำคลองสวัสดิ์,1048,POINT (100.34683126797111 13.778851296676132),03,1,กว้าง4.25ม.*สูง4.1ม.
11,ประตูระบายน้ำคลองวัดนาคปรก,1015,POINT (100.47088852169549 13.715744097839623),03,1,กว้าง4.0ม.*สูง3.75ม.
25,ประตูระบายน้ำคลองวัดเจ้าอาม,1019,POINT (100.4648247325573 13.7789154215415),03,1,กว้าง4.0ม.*สูง4.0ม.
67,ประตูระบายน้ำคลองโพ,1048,POINT (100.39483416750487 13.796749229989784),03,1,กว้าง6.0ม.*สูง4.5ม.
46,ประตูระบายน้ำคลองบางคูเวียง,1048,POINT (100.35950221266886 13.800005604600367),03,1,กว้าง4.0ม.*สูง4.5ม.
26,ประตูระบายน้ำคลองบางขุนนท์,1020,POINT (100.4668808464011 13.772945747759735),03,1,กว้าง4.0ม.*สูง4.0ม.
47,ประตูระบายน้ำคลองบัว,1019,POINT (100.41652235454464 13.799169076050841),03,1,กว้าง4.0ม.*สูง4.5ม.
68,ประตูระบายน้ำคลองทวีวัฒนา,1048,POINT (100.3297454961023 13.800471077259637),03,1,กว้าง6.0ม.*สูง5.0ม.
48,ประตูระบายน้ำคลองควาย,1048,POINT (100.38147527508933 13.797617730737079),03,1,กว้าง4.0ม.*สูง4.5ม.
49,ประตูระบายน้ำคลองซอย,1048,POINT (100.38192229937903 13.79544579991451),03,1,กว้าง4.0ม.*สูง4.5ม.
50,ประตูระบายน้ำคลองขุนศรีบุรีรักษ์,1048,POINT (100.36923399431232 13.798878473925157),03,1,กว้าง4.0ม.*สูง4.5ม.
27,ประตูระบายน้ำปากคลองวัดทองเพลง,1018,POINT (100.50327735335792 13.724917560203004),03,1,กว้าง4.0ม.*สูง4.0ม.
28,ประตูระบายน้ำปากคลองบางลำภูล่าง,1018,POINT (100.50522783123549 13.714697881378397),03,1,กว้าง4.0ม.*สูง4.0ม.
29,ประตูระบายน้ำปากคลองต้นไทร,1018,POINT (100.50902809965625 13.72978920088921),03,1,กว้าง4.0ม.*สูง4.0ม.
30,ประตูระบายน้ำคลองห้าเจดีย์,1035,POINT (100.46847656788101 13.701637794031576),03,1,กว้าง4.0ม.*สูง4.0ม.
31,ประตูระบายน้ำคลองสำเหร่ ถนนเทอไท,1015,POINT (100.48212606182487 13.722450475962873),01,2,กว้าง4.0ม.*สูง4.0ม.
32,ประตูระบายน้ำคลองวัดอนงค์,1018,POINT (100.49807324776245 13.736410699005562),01,2,กว้าง4.0ม.*สูง4.0ม.
