id_flood,location,dcode,scode
1,POINT (100.61981682204983 13.951273327098134),1036,103605
2,POINT (100.5619802468091 13.892281969701157),1041,104105
3,POINT (100.57422812350195 13.839957870704493),1030,103001
4,POINT (100.64791150275161 13.766368344228047),1006,100601
5,POINT (100.54003535172177 13.76805761350788),1014,101401
6,POINT (100.54843658956261 13.749877082051217),1037,103704
7,POINT (100.52138969758434 13.797250208073793),1002,100206
8,POINT (100.51239511013905 13.762019919736238),1002,100201
9,POINT (100.64039799038916 13.762114549369512),1006,100608
10,POINT (100.48887833995637 13.752497844913663),1001,100101
11,POINT (100.53712287223499 13.722313227746291),1028,102803
12,POINT (100.53104887407899 13.745892299358747),1007,100703
13,POINT (100.60687455502683 13.71313977798053),1034,103401
14,POINT (100.64433472259535 13.71240426452942),1034,103401
15,POINT (100.43975830737901 13.796104345129175),1019,101902
16,POINT (100.42237942885608 13.712329405243283),1040,104002
17,POINT (100.37541189968913 13.643550667747),1050,10501
18,POINT (100.43328162616713 13.653936932478175),1021,102107
19,POINT (100.50028666579507 13.641571020451222),1049,104902
20,POINT (100.73552487536118 13.818659274500556),1010,101001
