floodgate_id,name,dcode,location_details,type_gate,num_gate,size,location
54,ประตูระบายน้ำกรมสรรพาวุธ,1002,ถ.เตชะวิช ติดคลองเปรมประชากรหน้ากรมสรรพาวุธ,01,1,กว้าง4.1 ม.*สูง4.0ม.,POINT (100.53209429624789 13.797723456504684)
55,ประตูระบายน้ำตลาดบางซื่อ,1029,ถ. เตชะวนิช ติดคลองเปรมประชากรหน้าตลาดบางซื่อ,01,1,กว้าง4.1ม.*สูง4.0ม.,POINT (100.53336790520403 13.800096864121802)
77,ประตูระบายน้ำคลองตาอูฐ ตอนคลองเปรมประชากร,1036,คลองเปรมประชากร,05,1,กว้าง6.3ม.*สูง4.0ม.,POINT (100.58758551622948 13.899384050334943)
62,ประตูระบายน้ำอินทาระ35,1026,ถ.สุทธิสาร อินทามระ 35 ติดคลองบางซื่อ,-,1,กว้าง6.0*สูง1.5ม.,POINT (100.56407589339621 13.794761690946697)
63,ประตูระบายน้ำท่าซุง,1029,ใกล้สะพานพระราม6 ติดแม่น้ำเจ้าพระยา,05,1,กว้าง6.0*สูง5.5ม.,POINT (100.5181611282313 13.812097831138207)
12,ประตูระบายน้ำคลองลำกระโดง9 (คลองตาเหล็ก),1031,ถนนพระราม3,02,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.5166944863196 13.686786067163602)
5,ประตูระบายน้ำคลองบางโคล่ใหญ่,1031,ถนนพระราม3,02,1,กว้าง4.0ม*สูง4.0ม.,POINT (100.51198969673725 13.688984647929171)
13,ประตูระบายน้ำคลองบางโคล่,1031,ถนนพระราม3,02,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.51433748048218 13.688402893082497)
14,ประตูระบายน้ำคลองบางโคล่น้อย,1031,ถนนพระราม3,02,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.5053033615945 13.68967150085106)
2,ประตูระบายน้ำคลองวัดจันทร์นอก,1031,ถนนพระราม3,02,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.50206838113942 13.69145771775121)
15,ประตูระบายน้ำคลองบางคอแหลม,1031,ถนนพระราม3,02,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.49871026949786 13.693861742197008)
16,ประตูระบายน้ำคลองถนนตก,1031,ถนนพระราม3,02,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.49819777003245 13.694765065765095)
51,ประตูระบายน้ำคลองบ้านใหม่,1031,ถนนเจริญกรุง,02,1,กว้าง4.0ม.*สูง5.0ม.,POINT (100.49264022812041 13.692757368356489)
61,ประตูระบายน้ำแสนแสบเก่า,1007,ริมคลองแสนแสบ ถ.เพชรบุรี,03,2,กว้าง5.0ม.*สูง6.0ม.,POINT (100.5513083095778 13.74836688021107)
53,ประตูระบายน้ำลาดพร้าว56,1017,ซ. ลาดพร้าว 56,03,1,กว้าง4.0ม.*สูง6.30ม.,POINT (100.58932773935281 13.794332165617845)
8,ประตูระบายน้ำบึงลำพังพวย (ตอนนวมินทร์),1027,เขตบึงกุ่ม กรุงเทพมหานคร,04,2,กว้าง4.0ม.*สูง3.1ม.,POINT (100.6481054571879 13.784755336329042)
3,ประตูระบายน้ำคลองสะแก,1034,ข้าง รพ.แพทย์ปัญญา,03,1,กว้าง6.0ม.*สูง3.5ม.,POINT (100.61068356106456 13.742911713426784)
64,ประตุระบายน้ำคลองบางกะปิ,1017,ใกล้วัดอุทัยธาราม ถ.เพชรบุรี,03,1,กว้าง6.0ม.*สูง3.5ม.,POINT (100.57020655272365 13.75125092964579)
1,ประตูระบายน้ำคลงอกะจะ(ตอนถนนศรีนครินทร์),1034,ติดสะพานคลองกะจะ ถ.ศรีนครินทร์,03,1,กว้าง4.0ม.*สูง3.5ม.,POINT (100.63461534361208 13.749759945208293)
57,ประตูระบายน้ำแยกคลองพลับพลาตอนคลองลาดพร้าว,1045,ซอยรามคำแหง 21 ใกล้สถานีตำรวจนครบาลวังทองหลาง,03,1,กว้าง4.26ม.*สูง3.3ม.,POINT (100.59899325024183 13.75659828443974)
69,ประตูระบายน้ำประเวศ (กระทุ่มเสือปลา),1032,ข้างวัดกระทุ่มเสือปลา ถ.อ่อนนุช,03,2,กว้าง6.0ม.*สูง6.0ม.,POINT (100.68779029936803 13.723909252301846)
70,ประตูระบายน้ำบางชัน(ตอนคลองแสนแสบ),1043,ถ.เสรีไทย,03,1,กว้าง6.0ม.*สูง6.0ม.,POINT (100.70521818549278 13.797938189732827)
71,ประตูระบายน้ำพระยาสุเรนทร์(ใต้),1043,ซ.คู้บอน ถ.รามอินทรา,03,1,กว้าง6.0ม.*สูง6.0ม.,POINT (100.66084901104881 13.83967584834697)
17,ประตูระบายน้ำคลองหม้อแตก,1042,คลองหม้อแตกตัด ถ.สายไหม,05,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.66225175701324 13.92154417786373)
72,ประตูระบายน้ำคลองสองใต้,1042,คลองสองตัด ถ.สายไหม,05,1,กว้าง6.0ม.*สูง6.0ม.,POINT (100.63961480669776 13.931821833262584)
73,ประตูระบายน้ำแสนแสบ (มีนบุรี),1010,ถ.ราษฏร์อุทิศ,05,1,กว้าง6.0ม.*สูง6.0ม.,POINT (100.74739799940063 13.82101674502636)
74,ประตูระบายน้ำลาดกระบัง,1032,ถ.อ่อนนุช,05,1,กว้าง6.0ม.*สูง6.0ม.,POINT (100.74990073586228 13.724153326898854)
18,ประตูระบายน้ำพระยาสุเรนทร์(เหนือ),1042,ใกล้วัดหนองใหญ่ ถ.สายไหม,05,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.68719865969723 13.921209022068174)
6,ประตูระบายน้ำคลองหนึ่งลำปลาทิว,1003,คลองหนึ่งลำปลาทิว ตัด ถ.อยู่วิทยา,05,1,กว้าง4.0ม*สูง4.0ม.,POINT (100.86990533943118 13.82858113305275)
7,ประตูระบายน้ำคลองหนึ่งตะวันออก,1003,คลองหนึ่งตะวันออก ตัด ถ.นิมิตรใหม่,05,1,กว้าง4.0ม*สูง4.0ม.,POINT (100.7331462409689 13.850573146961347)
19,ประตูระบายน้ำคลองลำปลาทิว,1003,คลองสองลำปลาทิว ตัด ถ.อยู่วิทยา,05,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.87193200000398 13.815829056353037)
