floodpoint_id,location_name,dcode,scode,location
1,จุดอ่อนน้ำท่วมดอนเมืองอนุสรสถาน,1036,103605,POINT (100.61981682204983 13.951273327098134)
2,จุดอ่อนน้ำท่วมแจ้งวัฒนะ,1041,104105,POINT (100.5619802468091 13.892281969701157)
3,จุดอ่อนน้ำท่วมพหลโยธินแยกเกษตร,1030,103001,POINT (100.57422812350195 13.839957870704493)
4,จุดอ่อนน้ำท่วมลาดพร้าว บางกะปิ นวมินทร์,1006,100601,POINT (100.64791150275161 13.766368344228047)
5,ขุดอ่อนน้ำท่วมพหลโยธินสนามเป้า,1014,101401,POINT (100.54003535172177 13.76805761350788)
6,จุดอ่อนน้ำท่วมถนนเพชรบุรี จากรถไฟถึงอโศก,1037,103704,POINT (100.54843658956261 13.749877082051217)
7,จุดอ่อนน้ำท่วม ถนนทหาร พราะรามที่ 6  คลองสามเสน,1002,100206,POINT (100.52138969758434 13.797250208073793)
8,จุดอ่อนน้ำท่วมพระรามที่5 ผดุงกรุงเกษม คลองสามเสน,1002,100201,POINT (100.51239511013905 13.762019919736238)
9,จุดอ่อนน้ำท่วมรามคำแหง,1006,100608,POINT (100.64039799038916 13.762114549369512)
10,จุดออ่นน้ำทวม ถนนพระจันทร์ ถนนพระลาน,1001,100101,POINT (100.48887833995637 13.752497844913663)
11,จุดอ่อนน้ำท่วมถนนจันทร์ เซ็นหลุย สวนพลู,1028,102803,POINT (100.53712287223499 13.722313227746291)
12,จุดอ่อนน้ำท่วมถนนพระราม 1,1007,100703,POINT (100.53104887407899 13.745892299358747)
13,จุดอ่อนน้ำท่วมสุขุมวิท,1034,103401,POINT (100.60687455502683 13.71313977798053)
14,จุดอ่อนน้ำท่วมถนนสุขุมวิทศรีนครินทร์,1034,103401,POINT (100.64433472259535 13.71240426452942)
15,จุดอ่อนน้ำท่วม ตลิ่งชันฉิมพลีสวนผัก,1019,101902,POINT (100.43975830737901 13.796104345129175)
16,จุดอ่อนน้ำท่วมเพชรเกษม,1040,104002,POINT (100.42237942885608 13.712329405243283)
17,จุดอ่อนน้ำท่วมถนนบางบอน (เขตบางบอน),1050,10501,POINT (100.37541189968913 13.643550667747)
18,จุดอ่อนน้ำท่วมถนนบางขุนเทียน (บางขุนเทียน),1021,102107,POINT (100.43328162616713 13.653936932478175)
19,จุดอ่อนน้ำท่วมถนนประชาอุทิศ (เขตทุ่งครุ),1049,104902,POINT (100.50028666579507 13.641571020451222)
20,จุดอ่อนน้ำท่วมถนนสุวินทวงศ์ (เขตมีนบุรี),1010,101001,POINT (100.73552487536118 13.818659274500556)
