dcode,dname,AREA,population,num_male,num_female,num_school,num_hos,num_comm,num_temple,num_health,canal_count,flood_point_count,floodgate_count,pump_number,pump_ready,total_ready,จำนวนจุดเสี่ยง,จำนวนจุดเฝ้าระวังน้ำท่วม,year,total_rain,max_daily_rain,avg_daily_rain,heavy_rain_days,total_storm_days,max_storm_intensity
1025,เขตบางพลัด,11804564.0,99153,45904,53249,11,0,46,23,1,50,0,0,8,5,7,2,0,2023,1268.5,70.0,3.533426183844011,1,265,4
1025,เขตบางพลัด,11804564.0,99153,45904,53249,11,0,46,23,1,50,0,0,8,5,7,2,0,2024,431.0,58.5,2.9930555555555554,0,114,4
1017,เขตห้วยขวาง,16319268.0,78207,35884,42323,3,0,25,3,2,13,0,2,10,10,10,2,3,2023,1580.0,87.5,4.401114206128134,4,265,4
1017,เขตห้วยขวาง,16319268.0,78207,35884,42323,3,0,25,3,2,13,0,2,10,10,10,2,3,2024,646.5,89.0,4.489583333333333,2,114,4
1045,เขตวังทองหลาง,17075578.0,114748,52758,61990,3,0,19,1,0,17,0,1,13,13,13,5,5,2023,1482.0,107.0,4.128133704735376,4,265,4
1045,เขตวังทองหลาง,17075578.0,114748,52758,61990,3,0,19,1,0,17,0,1,13,13,13,5,5,2024,642.5,89.5,4.461805555555555,1,114,4
1048,เขตทวีวัฒนา,51732144.0,76274,35487,40787,7,0,16,3,1,23,0,7,10,10,10,0,6,2023,1560.5,71.0,4.346796657381615,1,265,4
1048,เขตทวีวัฒนา,51732144.0,76274,35487,40787,7,0,16,3,1,23,0,7,10,10,10,0,6,2024,783.5,68.5,5.440972222222222,2,114,4
1011,เขตลาดกระบัง,128628048.0,163317,78158,85159,20,1,63,13,2,55,0,1,36,31,36,2,3,2023,1622.5,115.5,4.5194986072423395,6,265,4
1011,เขตลาดกระบัง,128628048.0,163317,78158,85159,20,1,63,13,2,55,0,1,36,31,36,2,3,2024,755.0,70.0,5.243055555555555,1,114,4
1026,เขตดินแดง,8465891.0,130202,60811,69391,3,0,22,2,2,10,0,1,2,2,2,2,2,2023,1600.0,67.0,4.456824512534819,2,265,4
1026,เขตดินแดง,8465891.0,130202,60811,69391,3,0,22,2,2,10,0,1,2,2,2,2,2,2024,542.0,69.5,3.763888888888889,1,114,4
1019,เขตตลิ่งชัน,35767720.0,106532,50263,56269,16,0,44,30,1,27,1,2,26,25,25,2,2,2023,1962.0,108.0,5.465181058495822,5,265,4
1019,เขตตลิ่งชัน,35767720.0,106532,50263,56269,16,0,44,30,1,27,1,2,26,25,25,2,2,2024,552.5,53.0,3.8368055555555554,0,114,4
1002,เขตดุสิต,11329900.0,107969,57582,50387,9,1,47,17,2,20,2,1,10,9,10,1,10,2023,1667.5,74.5,4.644846796657381,4,265,4
1002,เขตดุสิต,11329900.0,107969,57582,50387,9,1,47,17,2,20,2,1,10,9,10,1,10,2024,478.5,58.5,3.3229166666666665,0,114,4
1044,เขตสะพานสูง,28068656.0,89895,41610,48285,6,0,30,1,1,24,0,0,30,21,26,3,0,2023,1585.5,95.5,4.4164345403899725,5,265,4
1044,เขตสะพานสูง,28068656.0,89895,41610,48285,6,0,30,1,1,24,0,0,30,21,26,3,0,2024,572.0,66.0,3.9722222222222223,1,114,4
1014,เขตพญาไท,9214668.0,73084,36433,36651,1,0,29,1,2,5,1,0,7,7,7,0,3,2023,2048.5,88.0,5.706128133704736,5,265,4
1014,เขตพญาไท,9214668.0,73084,36433,36651,1,0,29,1,2,5,1,0,7,7,7,0,3,2024,548.5,64.0,3.8090277777777777,1,114,4
1020,เขตบางกอกน้อย,12323945.0,117950,55984,61966,15,0,43,32,1,40,0,2,3,1,3,0,1,2023,1619.5,104.5,4.511142061281337,4,265,4
1020,เขตบางกอกน้อย,12323945.0,117950,55984,61966,15,0,43,32,1,40,0,2,3,1,3,0,1,2024,549.5,53.0,3.8159722222222223,0,114,4
1037,เขตราชเทวี,7167652.0,73280,35190,38090,4,0,25,4,1,7,1,0,1,0,1,2,5,2023,1888.5,96.5,5.2604456824512535,5,265,4
1037,เขตราชเทวี,7167652.0,73280,35190,38090,4,0,25,4,1,7,1,0,1,0,1,2,5,2024,589.5,59.5,4.09375,0,114,4
