dcode,dname,AREA,population,num_male,num_female,num_school,num_hos,num_comm,num_temple,num_health,canal_count,flood_point_count,floodgate_count,pump_number,pump_ready,total_ready,จำนวนจุดเสี่ยง,จำนวนจุดเฝ้าระวังน้ำท่วม
1025,เขตบางพลัด,11804564.0,99153,45904,53249,11,0,46,23,1,50,0,0,8,5,7,2,0
1017,เขตห้วยขวาง,16319268.0,78207,35884,42323,3,0,25,3,2,13,0,2,10,10,10,2,3
1045,เขตวังทองหลาง,17075578.0,114748,52758,61990,3,0,19,1,0,17,0,1,13,13,13,5,5
1048,เขตทวีวัฒนา,51732144.0,76274,35487,40787,7,0,16,3,1,23,0,7,10,10,10,0,6
1011,เขตลาดกระบัง,128628048.0,163317,78158,85159,20,1,63,13,2,55,0,1,36,31,36,2,3
1026,เขตดินแดง,8465891.0,130202,60811,69391,3,0,22,2,2,10,0,1,2,2,2,2,2
1019,เขตตลิ่งชัน,35767720.0,106532,50263,56269,16,0,44,30,1,27,1,2,26,25,25,2,2
1002,เขตดุสิต,11329900.0,107969,57582,50387,9,1,47,17,2,20,2,1,10,9,10,1,10
1044,เขตสะพานสูง,28068656.0,89895,41610,48285,6,0,30,1,1,24,0,0,30,21,26,3,0
1014,เขตพญาไท,9214668.0,73084,36433,36651,1,0,29,1,2,5,1,0,7,7,7,0,3
1020,เขตบางกอกน้อย,12323945.0,117950,55984,61966,15,0,43,32,1,40,0,2,3,1,3,0,1
1037,เขตราชเทวี,7167652.0,73280,35190,38090,4,0,25,4,1,7,1,0,1,0,1,2,5
1001,เขตพระนคร,5361067.0,57831,27809,30022,11,0,21,23,2,12,1,0,4,2,4,0,1
1008,เขตป้อมปราบศัตรูพ่าย,2504113.0,50930,24786,26144,4,1,15,11,1,8,0,0,2,2,2,0,0
1007,เขตปทุมวัน,8032768.0,53912,24883,29029,8,0,17,6,2,13,1,1,1,0,1,0,1
1040,เขตบางแค,47890656.0,191781,89905,101876,12,1,48,5,1,121,1,0,18,15,18,6,7
1034,เขตสวนหลวง,24113560.0,115731,53828,61903,8,0,46,8,2,43,2,2,18,16,18,7,0
1039,เขตวัฒนา,12996544.0,81755,38567,43188,8,0,17,2,1,17,0,0,4,4,4,1,14
1016,เขตบางกอกใหญ่,6298272.0,72241,34182,38059,6,0,34,13,1,46,0,2,15,11,15,0,4
1022,เขตภาษีเจริญ,19182494.0,129800,61178,68622,13,0,54,27,2,144,0,0,15,14,15,7,0
1013,เขตสัมพันธวงศ์,1392972.75,27426,13317,14109,3,0,19,13,1,0,0,0,2,2,2,3,2
1033,เขตคลองเตย,13240401.0,109001,52428,56573,4,0,41,3,2,10,0,0,30,28,28,0,13
1015,เขตธนบุรี,8461864.0,119643,56676,62967,17,0,44,25,3,66,0,4,18,13,18,0,3
1018,เขตคลองสาน,5965976.0,76353,35832,40521,8,1,44,8,1,33,0,7,14,8,10,0,2
1032,เขตประเวศ,53728764.0,160816,76182,84634,16,0,42,6,1,29,0,2,18,18,18,8,3
1004,เขตบางรัก,4012576.0,46112,21788,24324,5,0,16,5,1,10,0,0,8,8,8,0,1
1023,เขตหนองแขม,36201384.0,150285,70457,79828,6,1,71,7,1,15,0,0,7,6,7,0,5
1028,เขตสาทร,7259143.0,85048,40560,44488,2,0,25,3,1,14,1,0,4,4,4,1,10
1012,เขตยานนาวา,12504782.0,81529,38959,42570,6,0,20,9,2,22,0,0,1,1,1,1,1
1035,เขตจอมทอง,23167158.0,157970,75840,82130,11,0,53,16,1,52,0,1,12,12,12,1,1
1031,เขตบางคอแหลม,8312167.0,94877,45548,49329,7,1,29,11,3,41,0,8,1,0,1,3,3
1009,เขตพระโขนง,13578695.0,93461,43142,50319,4,0,45,4,2,31,0,0,8,6,4,1,3
1024,เขตราษฏร์บูรณะ,12333130.0,86643,41663,44980,6,0,28,7,2,27,0,1,14,14,14,1,1
1050,เขตบางบอน,35857236.0,105161,50478,54683,9,0,12,3,1,22,1,0,19,18,19,2,4
1047,เขตบางนา,18947526.0,95855,45248,50607,7,0,39,4,1,7,0,0,9,9,9,0,16
1021,เขตบางขุนเทียน,122207808.0,165693,78811,86882,16,0,49,15,1,118,1,12,19,19,19,6,5
