dcode,dname,เขต,รหัสสถานี,สถานี,วัน-เวลา,ฝน 5 นาที,ฝน 15 นาที,ฝน 30 นาที,ฝน 1 ชม.,ฝน 3 ชม.,ฝน 6 ชม.,ฝน 12 ชม.,ฝน 24 ชม.,date_object,season
1001,เขตพระนคร,พระนคร,RF.PNK.02,ส.เทเวศร์,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,7.5,7.5,7.5,8.0,2024-01-01,Winter
1033,เขตคลองเตย,คลองเตย,RF.KTY.01,สนข.คลองเตย,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1018,เขตคลองสาน,คลองสาน,RF.KSN.01,สนข.คลองสาน,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1046,เขตคลองสามวา,คลองสามวา,RF.KSW.01,สนข.คลองสามวา,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1043,เขตคันนายาว,คันนายาว,RF.KNY.02,จุดวัด ค.ลำชะล่า-ถ.นวมินทร์,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1030,เขตจตุจักร,จตุจักร,RF.CTC.01,บ่อสูบศาลอาญารัชดา,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1035,เขตจอมทอง,จอมทอง,RF.JTG.01,สนข.จอมทอง,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1036,เขตดอนเมือง,ดอนเมือง,RF.DMG.01,สนข.ดอนเมือง,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1026,เขตดินแดง,ดินแดง,RF.DDG.02,ศูนย์ฯ (ดินแดง),2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1002,เขตดุสิต,ดุสิต,RF.DST.01,สนข.ดุสิต,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1019,เขตตลิ่งชัน,ตลิ่งชัน,RF.TLC.01,สนข.ตลิ่งชัน,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1048,เขตทวีวัฒนา,ทวีวัฒนา,RF.TWW.01,สนข.ทวีวัฒนา,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1049,เขตทุ่งครุ,ทุ่งครุ,RF.TKU.01,สนข.ทุ่งครุ,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1015,เขตธนบุรี,ธนบุรี,RF.TBR.01,สนข.ธนบุรี,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1020,เขตบางกอกน้อย,บางกอกน้อย,RF.BKN.01,สนข.บางกอกน้อย,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1016,เขตบางกอกใหญ่,บางกอกใหญ่,RF.BKY.01,สนข.บางกอกใหญ่,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1006,เขตบางกะปิ,บางกะปิ,RF.BKP.02,จุดวัด ค.แสนแสบ-เขตบางกะปิ,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1021,เขตบางขุนเทียน,บางขุนเทียน,RF.BKT.01,สนข.บางขุนเทียน,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1005,เขตบางเขน,บางเขน,RF.BKA.01,สนข.บางเขน,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1031,เขตบางคอแหลม,บางคอแหลม,RF.BKL.01,สนข.บางคอแหลม,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1040,เขตบางแค,บางแค,RF.BKE.01,สนข.บางแค,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1029,เขตบางซื่อ,บางซื่อ,RF.BSU.01,สนข.บางซื่อ,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1047,เขตบางนา,บางนา,RF.BNA.01,สนข.บางนา,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1050,เขตบางบอน,บางบอน,RF.BBN.01,สนข.บางบอน,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1025,เขตบางพลัด,บางพลัด,RF.BPD.01,สนข.บางพลัด,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1004,เขตบางรัก,บางรัก,RF.BRK.01,สนข.บางรัก,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1027,เขตบึงกุ่ม,บึงกุ่ม,RF.BKM.01,สนข.บึงกุ่ม,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1007,เขตปทุมวัน,ปทุมวัน,RF.PTW.01,สนข.ปทุมวัน,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1032,เขตประเวศ,ประเวศ,RF.PWT.01,สนข.ประเวศ,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1008,เขตป้อมปราบศัตรูพ่าย,ป้อมปราบฯ,RF.PPS.01,สนข.ป้อมปราบฯ,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1014,เขตพญาไท,พญาไท,RF.PYT.01,สนข.พญาไท,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
