ข้อมูลคลองในพื้นที่เขต (สนน.และสนข.),,,,,,,,,
เขตคลองเตย,,,,,,,,,
ลำดับ,ชื่อคลอง,จาก,ถึง,กว้าง(ม.),ยาว (ม.),ระดับ,พื้นที่เขต,,
,,,,,,ขุดลอก,,,
,,,,,,(รทก.),,,
,สำนักการระบายน้ำรับผิดชอบ,,,,,,,,
1,คลองเตย,คลองพระโขนง,คลองไผ่สิงห์โต, 8 - 48,"3,150",-2.50,คลองเตย,,
2,คลองบ้านกล้วยใต้,ถนนสุขุมวิท (บ่อสูบน้ำ),คลองเตย, 4 - 8,"1,500",-2.00,คลองเตย,,
3,คลองพระโขนง,แม่น้ำเจ้าพระยา,ถนนสุขุมวิท , 30 - 40,"2,000",-2.50,คลองเตย,,
4,คลองไผ่สิงห์โต,ทางด่วนมหานคร,ถนนรัชดาภิเษก, 20 - 44,800,-2.00,คลองเตย,,
,,ถนนรัชดาภิเษก,คลองเตย, 4 - 20,750,-2.00,คลองเตย,,
,,,,,"8,200",,,,
,สำนักงานเขตรับผิดชอบ,,,,,,,,
1,คลองคาง,คลองพระโขนง,ซอยเล็กเทียงปลายซอย, 6 - 15,360,-2.00,คลองเตย,,
2,คลองพลับ,คลองพระโขนง,สุดระยะที่กำหนดให้, 5 - 6,366,-2.00,คลองเตย,,
3,คลองยายล้อม,คลองพระโขนง,ลำรางสาธารณะเชื่อมคลองคาง, 6 - 10,200,-2.00,คลองเตย,,
4,คลองยายสร้อย  (คลองเตย),คลองพระโขนง,ปากซอยถนนพระรามที่ 4, 5 - 6,750,-2.00,คลองเตย,,
5,คลองอินทนินทร์,คลองพระโขนง,คลองคาง, 5 - 7,360,-2.00,คลองเตย,,
,,,,,"2,036",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
ลำดับ,ชื่อคลอง,จาก,ถึง,กว้าง(ม.),ยาว (ม.),ระดับ,พื้นที่เขต,,
,,,,,,ขุดลอก,,,
,,,,,,(รทก.),,,
,คู ลำราง ลำกระโดง,,,,,,,,
1,คูน้ำข้างโรงพยาบาล เทพธารินทร์,ถนนพระรามที่ 4,คลองหัวลำโพง, 3 - 6,200,-1.50,คลองเตย,,
2,คูน้ำซอยสุขุมวิท 50,คลองคาง,สุดระยะที่กำหนดให้, 3 - 4,"1,100",-1.50,คลองเตย,,
,,,,,"1,300",,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,,,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
เขตคลองสาน,,,,,,,,,
ลำดับ,ชื่อคลอง,จาก,ถึง,กว้าง(ม.),ยาว (ม.),ระดับ,พื้นที่เขต,,
,,,,,,ขุดลอก,,,
,,,,,,(รทก.),,,
,สำนักการระบายน้ำรับผิดชอบ,,,,,,,,
1,คลองข้างวัดอนงคาราม(คลองตลาดสมเด็จ) ,แม่น้ำเจ้าพระยา,คลองสมเด็จเจ้าพระยา, 9 - 14,450,-1.50,คลองสาน,,
2,คลองบางลำภูล่าง,แม่น้ำเจ้าพระยา,คลองบางไส้ไก่, 4 - 8,"1,800",-1.50,คลองสาน,,
3,คลองสมเด็จเจ้าพระยา,คลองสาน,ถนนประชาธิปก, 7 - 11,"1,450",-1.50,คลองสาน,,
4,คลองสาน,แม่น้ำเจ้าพระยา,ซอยจันทร์สถิย์, 3 - 13,850,-1.50,คลองสาน,,
,,,,,"4,550",,,,
,สำนักงานเขตรับผิดชอบ,,,,,,,,
1,คลองต้นไทร,แม่น้ำเจ้าพระยา,ถนนกรุงธนบุรี, 5 - 13,700,-1.00,คลองสาน,,
,,คลองต้นไทร,คลองบางลำภูล่าง,2 - 3.50,413,-1.50,คลองสาน,,
2,คลองวัดสุวรรณ  ,แม่น้ำเจ้าพระยา,สุดระยะที่กำหนดให้,3.50 - 6.50,872,-1.00,คลองสาน,,
3,คลองข้างโรงเรียนปทุมวิทยา,ถนนกรุงธนบุรี,สุดระยะที่กำหนดให้,1.70 - 5.80,380,-1.00,คลองสาน,,
4,คลองซอยตากสิน 5,ซอยตากสิน 5,คลองบางไส้ไก่,1.30 -3.50,52,-1.00,คลองสาน,,
5,คลองพระยาเกษม,แม่น้ำเจ้าพระยา,สุดระยะคลอง,2.20 - 5,840,-1.00,คลองสาน,,
