"รหัสสถานี","เขต","สถานี","วัน-เวลา","ฝน 5 นาที","ฝน 15 นาที","ฝน 30 นาที","ฝน 1 ชม.","ฝน 3 ชม.","ฝน 6 ชม.","ฝน 12 ชม.","ฝน 24 ชม.","ดูข้อมูล"
"RF.PNK.01","พระนคร","สนข.พระนคร","14/10/2560 00:40","13.5","27.5","53.0","56.0","56.0","56.0","56.0","67.5","ดูข้อมูล"
"RF.BKN.02","บางกอกน้อย","ส.คลองมอญ","14/10/2560 00:40","12.5","40.0","45.0","45.0","45.0","45.0","45.0","63.5","ดูข้อมูล"
"RF.STN.02","สาทร","ส.คลองสาทร","14/10/2560 00:40","9.5","26.0","29.5","30.5","30.5","30.5","31.0","48.5","ดูข้อมูล"
"RF.BKY.02","บางกอกใหญ่","ส.คลองบางกอกใหญ่","14/10/2560 00:40","9.0","27.5","33.5","33.5","33.5","33.5","33.5","37.0","ดูข้อมูล"
"RF.PTW.02","ปทุมวัน","ปตร.คลองอรชร","14/10/2560 00:40","9.0","22.5","31.0","43.5","43.5","43.5","43.5","44.5","ดูข้อมูล"
"RF.PSC.04","ภาษีเจริญ","ส.คลองภาษีเจริญ","14/10/2560 00:40","8.0","9.0","9.0","9.0","9.0","9.0","9.5","28.5","ดูข้อมูล"
"RF.NJK.05","หนองจอก","ปตร.คลองหลวงแพ่ง","14/10/2560 00:40","7.5","15.5","15.5","15.5","15.5","15.5","16.0","17.5","ดูข้อมูล"
"RF.BRK.02","บางรัก","ส.กรุงเกษม","14/10/2560 00:40","6.5","24.0","29.5","32.0","32.0","32.0","32.5","39.0","ดูข้อมูล"
"RF.SPW.01","สัมพันธวงศ์","ท่าน้ำสวัสดี","14/10/2560 00:40","6.5","24.0","31.0","33.0","33.0","33.0","33.5","39.5","ดูข้อมูล"
"RF.TBR.01","ธนบุรี","สนข.ธนบุรี","14/10/2560 00:40","6.0","13.0","13.0","13.0","13.0","13.0","13.5","16.0","ดูข้อมูล"
"RF.BKT.03","บางขุนเทียน","ส.คลองระหาญ","14/10/2560 00:40","5.0","17.5","27.5","27.5","27.5","27.5","27.5","32.5","ดูข้อมูล"
"RF.YNW.01","ยานนาวา","สนข.ยานนาวา","14/10/2560 00:40","5.0","12.0","16.0","16.0","16.0","16.0","16.5","38.0","ดูข้อมูล"
"RF.RTW.01","ราชเทวี","สนข.ราชเทวี","14/10/2560 00:40","5.0","20.5","34.0","39.0","39.0","39.0","39.0","39.0","ดูข้อมูล"
"RF.KTY.02","คลองเตย","ส.พระราม 4","14/10/2560 00:40","3.5","6.5","9.0","9.0","9.0","9.0","9.0","38.5","ดูข้อมูล"
"RF.KSN.01","คลองสาน","สนข.คลองสาน","14/10/2560 00:40","3.5","27.0","33.5","33.5","33.5","33.5","33.5","38.5","ดูข้อมูล"
"RF.SPK.01","อำเภอเมืองสมุทรปราการ","ส.คลองสำโรง","14/10/2560 00:40","3.5","7.5","8.5","8.5","8.5","8.5","9.5","22.5","ดูข้อมูล"
"RF.TKU.02","ทุ่งครุ","ปตร.คลองรางจาก-ถ.ประชาอุทิศ","14/10/2560 00:40","2.5","3.0","3.0","3.0","3.0","3.0","3.5","5.0","ดูข้อมูล"
"RF.BKE.03","บางแค","ส.คลองบางจาก","14/10/2560 00:40","2.5","4.5","4.5","4.5","4.5","4.5","4.5","6.0","ดูข้อมูล"
"RF.RBN.01","ราษฏร์บูรณะ","สนข.ราษฎร์บูรณะ","14/10/2560 00:40","2.5","3.5","3.5","4.5","4.5","4.5","4.5","10.5","ดูข้อมูล"
"RF.BKL.01","บางคอแหลม","สนข.บางคอแหลม","14/10/2560 00:40","2.0","6.0","6.5","6.5","6.5","6.5","7.0","11.5","ดูข้อมูล"
"RF.JTG.01","จอมทอง","สนข.จอมทอง","14/10/2560 00:40","0.5","0.5","0.5","0.5","0.5","0.5","1.0","1.5","ดูข้อมูล"
"RF.DST.01","ดุสิต","สนข.ดุสิต","14/10/2560 00:40","0.5","8.5","23.0","49.0","49.0","49.0","49.0","49.0","ดูข้อมูล"
"RF.TLC.03","ตลิ่งชัน","ส.คลองชักพระ","14/10/2560 00:40","0.5","3.5","9.0","9.0","9.5","9.5","9.5","13.5","ดูข้อมูล"
"RF.BBN.01","บางบอน","สนข.บางบอน","14/10/2560 00:40","0.5","3.5","5.5","9.0","9.0","9.0","9.5","41.5","ดูข้อมูล"
"RF.PKN.02","พระโขนง","ส.คลองเจ็ก","14/10/2560 00:40","0.5","0.5","0.5","0.5","0.5","0.5","1.0","1.0","ดูข้อมูล"
"RF.KSW.01","คลองสามวา","สนข.คลองสามวา","14/10/2560 00:40","0.0","0.0","0.0","0.0","0.0","0.0","28.0","28.0","ดูข้อมูล"
"RF.KNY.02","คันนายาว","จุดวัด ค.ลำชะล่า-ถ.นวมินทร์","14/10/2560 00:40","0.0","0.0","0.0","0.0","0.0","0.0","5.5","5.5","ดูข้อมูล"
"RF.CTC.01","จตุจักร","บ่อสูบศาลอาญารัชดา","14/10/2560 00:40","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","ดูข้อมูล"
"RF.DMG.01","ดอนเมือง","สนข.ดอนเมือง","14/10/2560 00:40","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","ดูข้อมูล"
"RF.DDG.02","ดินแดง","ศูนย์ฯ (ดินแดง)","14/10/2560 00:40","0.0","3.0","11.0","11.0","11.0","11.0","11.0","11.0","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","14/10/2560 00:40","0.0","0.5","0.5","0.5","0.5","0.5","0.5","0.5","ดูข้อมูล"
"RF.BKP.02","บางกะปิ","จุดวัด ค.แสนแสบ-เขตบางกะปิ","14/10/2560 00:40","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.5","ดูข้อมูล"
"RF.BKA.01","บางเขน","สนข.บางเขน","14/10/2560 00:40","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","ดูข้อมูล"
"RF.BSU.01","บางซื่อ","สนข.บางซื่อ","14/10/2560 00:40","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","ดูข้อมูล"
"RF.BNA.01","บางนา","สนข.บางนา","14/10/2560 00:40","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.5","ดูข้อมูล"
"RF.BPD.01","บางพลัด","สนข.บางพลัด","14/10/2560 00:40","0.0","0.0","1.5","10.0","10.0","10.0","10.5","38.5","ดูข้อมูล"
"RF.BKM.01","บึงกุ่ม","สนข.บึงกุ่ม","14/10/2560 00:40","0.0","0.0","0.0","0.0","0.0","0.0","1.5","1.5","ดูข้อมูล"
"RF.PWT.01","ประเวศ","สนข.ประเวศ","14/10/2560 00:40","0.0","0.0","0.0","0.0","0.0","0.0","2.0","25.5","ดูข้อมูล"
"RF.PPS.01","ป้อมปราบฯ","สนข.ป้อมปราบฯ","14/10/2560 00:40","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","ดูข้อมูล"
"RF.PYT.01","พญาไท","สนข.พญาไท","14/10/2560 00:40","0.0","0.5","26.0","34.5","34.5","34.5","34.5","34.5","ดูข้อมูล"
"RF.MBR.01","มีนบุรี","สนข.มีนบุรี","14/10/2560 00:40","0.0","0.0","0.0","0.0","0.0","0.0","33.5","33.5","ดูข้อมูล"
"RF.LKB.02","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","14/10/2560 00:40","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","ดูข้อมูล"
"RF.LPW.01","ลาดพร้าว","สนข.ลาดพร้าว","14/10/2560 00:40","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0","ดูข้อมูล"
"RF.WTL.01","วังทองหลาง","สนข.วังทองหลาง","14/10/2560 00:40","0.0","0.0","0.0","0.0","0.0","0.0","1.5","1.5","ดูข้อมูล"
"RF.WTN.01","วัฒนา","สนข.วัฒนา","14/10/2560 00:40","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","ดูข้อมูล"
"RF.SLG.01","สวนหลวง","สนข.สวนหลวง","14/10/2560 00:40","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.5","ดูข้อมูล"
"RF.SPS.01","สะพานสูง","สนข.สะพานสูง","14/10/2560 00:40","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0","ดูข้อมูล"
"RF.SMI.01","สายไหม","สนข.สายไหม","14/10/2560 00:40","0.0","0.0","0.0","0.0","0.0","0.5","2.5","2.5","ดูข้อมูล"
"RF.NKM.01","หนองแขม","สนข.หนองแขม","14/10/2560 00:40","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","ดูข้อมูล"
"RF.LSI.01","หลักสี่","สนข.หลักสี่","14/10/2560 00:40","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0","ดูข้อมูล"
"RF.HKG.01","ห้วยขวาง","สนข.ห้วยขวาง","14/10/2560 00:40","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","ดูข้อมูล"
