id_canal,name_canal,Water Storage,TEMP_54,TEMP_55,TEMP_56,TEMP_57,pH_54,pH_55,pH_56,pH_57,DO_54,DO_55,DO_56,DO_57,H2S_54,H2S_55,H2S_56,H2S_57,BOD_54,BOD_55,BOD_56,BOD_57,COD_54,COD_55,COD_56,COD_57,SS_54,SS_55,SS_56,SS_57,TKN_54,TKN_55,TKN_56,TKN_57,NH3N_54,NH3N_55,NH3N_56,NH3N_57,NO2_54,NO2_55,NO2_56,NO2_57,NO3_54,NO3_55,NO3_56,NO3_57,T-P_54,T-P_55,T-P_56,T-P_57
1,คลองกรวย,ซ.เจริญกรุง 71,28.8,29.1,29.4,29.8,7,6.9,7.4,7.2,0.9,0,1.5,1,0.2,0.2,1,0.2,18.8,38.2,17.5,25.4,71.3,199.1,193.8,109.5,20.2,84.5,24.9,34.2,11.4,11,11.2,10.9,7.8,7.5,8.3,7.9,0.1,0.2,0.2,0.2,2.2,2.2,2.8,2.5,0.6,1.3,1,1.1
2,คลองกุ่ม,หมู่บ้านสหกรณ์ (ซ.28),29.4,29,29.4,29.3,7.1,7.2,7.5,7.5,0.7,0.5,0,0.5,0.2,0.1,2.4,2.5,20.2,32.5,36.1,24.5,77,121.3,246.4,93.3,25.1,32.6,27.8,25.5,9.5,13.7,25.9,23.7,6.1,11,23.2,18.8,0,0.1,0.1,0,2.5,2.4,2.6,2.8,0.9,1.4,1.7,1.3
3,คลองกุ่ม,ถ.สุขาภิบาล 2,29.4,29,29.4,29.3,7.1,7.1,7.5,7.4,0.6,2.1,1.9,1.5,0.2,0.1,0.1,1.3,18.3,14.5,13.8,18.1,69.3,84,97.8,73.6,27,27.2,22.3,21.3,8.9,10,13.2,16.6,6,6.1,9.5,13.4,0.1,0.4,0.3,0.2,2.6,2.1,2.2,2.7,0.8,1,1.3,1.3
4,คลองเกร็ด,ถ.ปัญญา - เนเจอรัลปาร์ค,30.7,29.3,29.6,29,7,7,7.3,7.2,0.9,0.6,0.1,0.1,0.8,0.1,1.4,3.1,12.4,10.4,11.4,14.4,38.9,58.2,83.5,56.5,9,21.5,10.9,11.2,7.7,7.5,14.4,13.7,4.4,4.8,11.2,11.4,0.1,0.2,0.3,0.1,2.5,2.2,2.3,2.6,0.5,0.8,1.2,1
5,คลองขวาง,ถ.เจริญกรุง 72,28.8,29.1,29.4,29.8,7.1,6.9,7.4,7.2,0.4,0.5,0.1,0.3,0.2,0.2,1.2,0.4,21.2,24.9,28.9,24.1,73.3,93.2,140.6,90.1,18.7,39.1,18.4,23.4,12.4,9.1,15.2,12.9,8.8,6,12.5,10.2,0.1,0.2,0.2,0.1,2.6,1.9,2.3,2.3,0.7,1.1,1.2,1.6
6,คลองขุนราชวินิตใจ,หน้า ปตร.คลองขุนฯ,30.4,30.9,30.8,29.8,7.4,7.3,7.5,7.5,3.3,3.8,3.8,3,0,0,0,0,6.3,4,7.3,8.3,65.7,96,56.5,62.5,26.7,9,14.4,38.6,3.4,2.6,2.7,2.7,0.6,0.5,1.1,1,0.8,0.7,0.1,0.1,0.7,0.2,0.3,0.2,1.2,1.5,1.6,1.7
7,คลองขุนราชวินิตใจ,ตรงข้าม ปตร.รางสะแก,30.3,30.5,30.8,29.8,7.4,7.5,7.5,7.5,4,4.3,2.8,3,0,0,0,0,6,6.5,6.5,7.7,66.7,51.8,64.1,54.3,19.2,14,11.4,17.3,2.6,3.2,2.7,2.5,0.7,0.9,1.2,1.1,0.6,0.4,0.1,0.2,0.4,1,0.4,0.6,1.2,1.5,1.5,1.8
8,คลองขุนราชวินิตใจ,วัดหัวกระบือ,30.4,30.8,30.4,29.8,7.5,7.4,7.5,7.5,3.4,3.7,3,2.1,0,0,0,0,8.7,5.8,7,9.8,68.8,48.9,59.5,65.1,21.9,21.9,14,31.8,3.2,2.7,2.6,2.8,0.5,1,1.1,0.9,0.4,0.4,0.2,0.1,0.4,1,0.3,0.3,1.4,1.5,1.7,1.7
9,คลองครุ,ถ.เสรีไทย 67,30.7,29.3,29.6,29,7.1,7.3,7.4,7.3,1,3,2.3,1.5,0.1,0,0.1,0,11.2,11.4,10.8,11.8,39.5,90.9,94.5,62.4,11.9,24.4,13.9,20.2,6.4,7.4,13.7,13,3.7,4.3,11.1,9.1,0.1,0.1,0.4,0.2,2.5,2.1,2.8,2.3,0.7,0.9,1.1,1
10,คลองควาย,ถ.พุทธมณฑลสาย 2,30.5,30.5,30.8,30.2,7.5,7.5,7.5,7.5,2.4,2.4,2.6,2.2,0,0,0,0,7.7,7.4,7.8,10.2,59.6,62,58.1,49.2,19.2,14.6,15,23.3,3.5,3.1,2.4,2.4,0.4,0.5,0.8,1,0.8,0.3,0,0.1,0.3,0.7,0.4,0.4,1.3,1.3,1.7,1.6
11,คลองคอตัน,ถ.ปัญญา - เนเจอรัลปาร์ค,30.7,29.3,29.6,29,7,7.2,7.3,7.1,1.4,3.9,2.2,0.9,0.3,0,0.1,0.6,9.3,9.8,6.3,10.7,37.2,100.5,121.5,52.6,18.3,27.1,15.4,17.4,5.9,6.1,7.5,10.6,3.1,2.6,5.4,6.6,0.1,0.2,0.4,0.2,2.5,2.6,2.4,2.3,0.5,0.8,1,0.8
12,คลองคูเมืองเดิม,ปตร.ราชินี,29.2,28.5,29.1,29.3,6.9,6.8,7.5,7.2,1.8,1,1.6,3.1,0,0.1,0.1,0,8.4,9.7,9.8,6.6,31.7,35.5,67.1,52.6,23.6,26.2,19.5,23.8,5.2,4.4,6.6,3.7,2.3,2.3,2.9,1.6,0.2,0.2,0.3,0.4,2.8,2.1,1.7,2.8,0.4,0.6,0.7,0.4
13,คลองคูเมืองเดิม,หน้ากรมที่ดิน,29.2,28.5,29.1,29.3,7,6.9,7.5,7.3,2.3,1.5,3.1,3.2,0,0,0,0,5.8,6.1,5.4,7,26.7,34.4,101,56.7,34,24.1,12.9,16.6,3.9,3.8,4.3,4.6,1.4,1.1,1.2,2.5,0.2,0.3,0.4,0.4,2.5,1.7,2.1,2.7,0.4,0.4,0.5,0.4
14,คลองคูเมืองเดิม,อนุสาวรีย์พระแม่ธรณีบีบมวยผม สนามหลวง,29.2,28.5,29.1,29.3,7,6.9,7.4,7.2,2.3,1.7,3,1.5,0,0,0.1,0.3,6.6,6.2,7.1,9.8,27.3,25.5,96.3,49.9,24.6,26.3,14.6,16,3.7,3.4,5,7,1.6,0.8,1.5,2.6,0.2,0.3,0.6,0.2,2.5,1.9,2.7,1.9,0.3,0.3,0.5,0.6
15,คลองคูเมืองเดิม,ปตร.พระปิ่นเกล้า,29.2,28.5,29.1,29.3,7,6.9,7.4,7.2,2.6,3.1,1.8,1.7,0,0,0,0.5,3.4,3.5,6,9.4,23.8,24.1,72.6,55.1,24.6,31.1,21.1,19.3,2.8,2.2,4.5,4.7,0.5,0,1,2.8,0.1,0.1,0.4,0.3,2.3,1.8,2.4,2.6,0.3,0.2,0.4,0.5
16,คลองเคล็ด,ถ.อุดมสุข 51 ซ.วชิรธรรมสาธิต 57,28.9,29.2,29.1,29.6,7.1,7,7.4,7.3,0.1,0,0.4,1.3,0.8,0.2,0.4,1.5,21,19.5,13.6,19.5,72.3,68.6,79.9,82,19.1,16.4,17.1,19.3,10.4,10.4,12,16.8,6.3,6.6,8.5,12.2,0,0.2,0.2,0.1,2.5,2.4,2,2.4,0.9,1,1.1,1.1
