ลำดับที่,สำนักงานเขต,สถานที่,,สภาพน้ำท่วม,,,ระยะเวลาน้ำท่วม,,,,ปริมาณน้ำฝน,,,
,,ถนน,บริเวณ,ความสูง (ซม.),ความยาว (ม.),สภาพท่วม (ช่องจราจร),ท่วม,แห้ง,รวม,นับเวลาจากเวลาฝนหยุด,ฝนรวม (มม.),ความรุนแรง (มม./ซม.),,
1,จตุจักร,กำแพงเพชร 2,,30,400,4 เลน,03:10,11:25,08:15,07:05,86.5,98,,
2,จตุจักร,กำแพงเพชร 4,,30,-,เต็มผิว,03:30,07:40,04:10,03:20,86.5,98,,
3,จตุจักร,งามวงศ์วาน,,10-15,200,2,02:50,06:20,03:30,06:20,86.5,98,,
4,จอมทอง,จอมทอง,,15-20,150,-,02:00,08:15,06:15,03:10,178,92,,
5,สาทร,เซ็นหลุยส์,,15-20,350,-,01:50,09:30,07:40,04:55,154,94,,
6,ดินแดง,ดินแดง,,30,200,เต็มผิว,02:30,16:50,14:20,12:35,174,136,,
7,ราชเทวี,นิคมมักกะสัน,,30,300,เต็มผิว,02:35,07:50,05:15,07:50,1775,112,,
8,บางขุนเทียน,บางขุนเทียนชายทะเล,,15-20,500,2,02:30,06:00,03:30,06:00,1075,70,,
9,ดินแดง,ประชาสุข,,30,200,เต็มผิว,02:35,12:20,09:45,08:05,174,136,,
10,ทุ่งครุ,ประชาอุทิศ,,15-20,200,-,02:05,07:30,05:25,02:40,86.5,86,,
11,พญาไท,ประดิพัทธิ์,,30,400,เต็มผิว,02:50,10:20,07:30,06:10,169,102,,
12,คลองเตย,พระราม 3,,25-30,200,2,01:30,05:00,03:30,05:00,160,136,,
13,คลองเตย,พระราม 4,,30,400,-,02:05,07:50,05:45,07:50,160,136,,
14,คลองเตย,พระราม 4,,30,-,เต็มผิว,03:05,10:30,07:25,06:05,160,136,,
15,จตุจักร,พหลโยธิน,,30,100,เต็มผิว,02:45,09:00,06:15,04:40,86.5,98,,
16,จตุจักร,พหลโยธิน,,30,-,เต็มผิว,03:30,12:45,09:15,08:25,86.5,98,,
17,พญาไท,พหลโยธิน,,30,800,เต็มผิว,02:50,08:00,05:10,03:50,169,102,,
18,สาวหลวง,พัฒนาการ,,30,300,2,03:10,07:00,03:50,02:50,47.5,76,,
19,ราชเทวี,พญาไท,,30,300,3,06:00,09:00,03:00,04:35,1775,112,,
20,ภาษีเจริญ,เพขรเกษม,,30,300,ทั้งสองฝั่ง,01:25,15:15,13:50,10:05,188,94,,
21,ภาษีเจริญ,เพขรเกษม,,15-20,300,3,01:45,23:00,21:15,17:50,188,94,,
22,ภาษีเจริญ,เพขรเกษม,,30,300,-,02:10,13:00,10:50,07:50,188,94,,
23,ราชเทวี,เพชรบุรี,,30,-,เต็มผิว,02:40,14:20,11:40,09:55,1775,112,,
24,ราชเทวี,เพชรบุรี,,30,600,เต็มผิว,02:55,08:00,05:05,03:35,1775,112,,
25,จตุจักร,รัชดาภิเษก,,30,-,เต็มผิว,04:00,12:30,08:30,08:10,86.5,98,,
26,จตุจักร,รัชดาภิเษก,,30,-,เต็มผิว,04:00,12:30,08:30,08:15,174,136,,
27,ราชเทวี,ราชปรารภ,,30,500,เต็มผิว,02:55,06:50,03:55,06:50,1775,112,,
28,ดุสิต,ราชวิถี,,30,300,3,03:05,06:15,03:10,01:05,149.5,90,,
29,ดุสิต,ราชวิถี,,15-20,200,เต็มผิว,02:40,06:10,03:30,01:00,149.5,90,,
30,ดุสิต,ราชวิถี,,30,300,เต็มผิว,02:50,06:10,03:20,01:00,1495,90,,
31,บางกะปิ,รามคำแหง,,30,300,เต็มผิว,02:55,06:00,03:05,06:00,34.5,76,,
32,วังทองหลาง,ลาดพร้าว,,15-20,-,เต็มผิว,03:05,05:00,Jan-55,05:00,62,62,,
33,วังทองหลาง,ลาดพร้าว,,15-20,-,เต็มผิว,03:00,04:00,01:00,04:00,62,62,,
34,คลองสาน,ลาดหญ้า,,15-20,300,เต็มผิว,01:40,06:00,04:20,06:00,144,68,,
35,ตลิ่งชัน,เลียบทางรถไฟ,,30,-,เต็มผิว,04:00,06:00,02:00,06:00,74.01,78,,
36,วิภาวดี,วิภาวดี,,30,-,เต็มผิว,04:00,15:15,11:15,11:00,174,136,,
37,ราชเทวี,ศรีอยุธยา,,30,100,2,00:55,09:20,08:25,09:20,177.5,112,,
38,ราชเทวี,ศรีอยุธยา,,30,250,2,02:15,07:15,05:00,07:15,177.5,112,,
39,ราชเทวี,ศรีอยุธยา,,30,200,3,03:20,07:30,04:10,07:30,177.5,112,,
40,พระนคร,สาธุประดิษฐ์,,30,350,-,01:35,05:30,03:55,05:30,203,128,,
41,สาทร,สวนพลู,,30,500,เต็มผิว,01:45,09:00,07:15,04:25,154,94,,
42,สาทร,สุขุมวิท,,15-20,600,-,00:50,09:00,08:10,04:25,154,94,,
43,บางนา,สุขุมวิท,,30,100,3,02:15,05:20,03:05,05:20,83.01,114,,
44,บางนา,สุขุมวิท,,30,100,2,02:15,06:00,03:45,06:00,83,114,,
45,วัฒนา,สุขุมวิท,,30,800,เต็มผิว,01:55,10:00,08:05,05:15,155.5,128,,
46,วัฒนา,สุขุมวิท,,40,4000,ทั้งสองฝั่ง,03:05,10:00,06:55,05:15,155.5,128,,
47,วัฒนา,สุขุมวิท,,30,-, เต็มผิว,02:30,11:00,08:30,06:15,155.5,128,,
48,วัฒนา,สุขุมวิท 31,,30,3000,เต็มผิว,03:05,10:40,07:35,05:55,155.5,128,,
49,พญาไท,สุทธิสาร,,30,-,เต็มผิว,03:10,10:30,07:20,06:20,169,102,,
50,คลองเตย,สุนทรโกษา,,30,300,2,01:55,06:00,04:05,01:35,160,136,,
51,พระนคร,หน้าพระลาน,,15-20,400,เต็มผิว,01:40,05:20,03:40,05:20,203,128,,
52,วัฒนา,อโศกมนตรี,,30,2500,เต็มผิว,03:05,12:20,09:15,07:35,155.5,128,,
53,บางกอกน้อย,อิสรภาพ,,15-20,200,2,01:40,06:00,04:20,06:00,195,160,,
54,บางบอน,เอกชัย,,15-20,350,3,01:30,12:15,10:45,07:30,62.5,106,,
55,วัฒนา,เอกมัย,,40,2500,เต็มผิว,03:05,12:15,09:10,07:30,155.5,128,,
