รหัสสถานี,เขต,สถานี,วัน-เวลา,ฝน 5 นาที,ฝน 15 นาที,ฝน 30 นาที,ฝน 1 ชม.,ฝน 3 ชม.,ฝน 6 ชม.,ฝน 12 ชม.,ฝน 24 ชม.,ดูข้อมูล
RF.SPK.01,อำเภอเมืองสมุทรปราการ,ส.คลองสำโรง,2560-10-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.5,ดูข้อมูล
RF.SMI.04,สายไหม,จุดวัด ซ.แอนเน็กซ์,2560-10-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,37.5,37.5,ดูข้อมูล
RF.TWW.03,ทวีวัฒนา,ปตร.คลองขุนศรีฯ-ค.มหาสวัสดิ์,2560-10-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,ดูข้อมูล
RF.TKU.02,ทุ่งครุ,ปตร.คลองรางจาก-ถ.ประชาอุทิศ,2560-10-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,ดูข้อมูล
RF.RBN.01,ราษฏร์บูรณะ,สนข.ราษฎร์บูรณะ,2560-10-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,ดูข้อมูล
RF.BSU.02,บางซื่อ,ส.คลองบางเขนใหม่,2560-10-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,ดูข้อมูล
RF.BKT.04,บางขุนเทียน,ส.คลองราชมนตรี,2560-10-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,ดูข้อมูล
RF.JTG.01,จอมทอง,สนข.จอมทอง,2560-10-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,ดูข้อมูล
RF.YNW.03,ยานนาวา,ปตร.คลองวัดด่าน,2560-10-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,ดูข้อมูล
RF.BKL.02,บางคอแหลม,ส.วัดไทร,2560-10-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,ดูข้อมูล
RF.TBR.03,ธนบุรี,ส.ดาวคะนอง,2560-10-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,ดูข้อมูล
RF.BBN.01,บางบอน,สนข.บางบอน,2560-10-01 01:00:00,0.0,0.0,0.0,1.5,8.5,8.5,8.5,14.5,ดูข้อมูล
RF.CTC.01,จตุจักร,บ่อสูบศาลอาญารัชดา,2560-10-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,ดูข้อมูล
RF.WTL.03,วังทองหลาง,ส.คลองเจ้าคุณสิงห์,2560-10-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.5,8.0,ดูข้อมูล
